Rank,Team,Score %,QB,RB,WR,FLX,TE,K,DST
1,OhNo RoMo,100,7,1,12,9,2,12,11
2,Spos Before Hos,97.7,10,6,1,1,11,6,1
3,Team Wasserman,97.3,9,2,10,5,5,7,4
4,Team Gregory,94.2,1,8,5,6,7,3,2
5,Hebrew Wolves,93.3,8,5,3,2,8,4,13
6,Team Frisch,90.8,3,7,11,12,6,2,12
7,Cool Hand Lou,90.2,12,4,8,4,12,4,8
8,SFV Aguilar,90.1,4,12,6,14,1,9,10
9,SUPERMAX LOCO,89.7,2,10,7,8,9,10,9
10,Gurley Gone Wild,87.1,13,3,13,10,10,13,7
11,Team Thomas,85.7,5,14,9,7,3,11,3
12,Little Miss Moffett,83,11,11,14,3,4,1,5
13,Deflate Deez Nutz,82.8,6,9,2,13,13,14,6
14,Team Force,77.3,14,13,4,11,14,8,14
